Category,Order Date,Sub-Category,Sales
Office Supplies,1/3/2019,Paper,16.448
Office Supplies,1/4/2019,Binders,3.54
Office Supplies,1/4/2019,Labels,11.784
Office Supplies,1/4/2019,Storage,272.736
Office Supplies,1/5/2019,Art,19.536
Furniture,1/6/2019,Chairs,2573.82
Office Supplies,1/6/2019,Art,5.48
Office Supplies,1/6/2019,Art,12.78
Office Supplies,1/6/2019,Binders,609.98
Office Supplies,1/6/2019,Fasteners,31.12
Office Supplies,1/6/2019,Paper,6.54
Office Supplies,1/6/2019,Paper,19.44
Technology,1/6/2019,Phones,755.96
Technology,1/6/2019,Phones,391.98
Furniture,1/7/2019,Furnishings,76.728
Office Supplies,1/7/2019,Binders,10.43
Office Supplies,1/9/2019,Art,9.344
Technology,1/9/2019,Accessories,31.2
Furniture,1/10/2019,Furnishings,51.94
Office Supplies,1/10/2019,Labels,2.89
Furniture,1/11/2019,Furnishings,9.94
Furniture,1/13/2019,Bookcases,333.999
Furniture,1/13/2019,Chairs,545.94
Office Supplies,1/13/2019,Art,19.9
Office Supplies,1/13/2019,Binders,3.438
Office Supplies,1/13/2019,Binders,5.64
Office Supplies,1/13/2019,Envelopes,50.94
Office Supplies,1/13/2019,Envelopes,11.36
Office Supplies,1/13/2019,Paper,37.408
Office Supplies,1/13/2019,Storage,572.58
Office Supplies,1/13/2019,Storage,1325.85
Technology,1/13/2019,Accessories,646.74
Furniture,1/14/2019,Bookcases,61.96
Technology,1/15/2019,Accessories,149.95
Furniture,1/16/2019,Furnishings,127.104
Office Supplies,1/16/2019,Binders,18.588
Office Supplies,1/16/2019,Labels,30.072
Technology,1/16/2019,Phones,124.2
Office Supplies,1/18/2019,Appliances,64.864
Furniture,1/19/2019,Bookcases,181.47
Office Supplies,1/19/2019,Binders,32.34
Office Supplies,1/19/2019,Envelopes,108.72
Office Supplies,1/19/2019,Paper,56.064
Furniture,1/20/2019,Chairs,1067.94
Furniture,1/20/2019,Furnishings,14.73
Furniture,1/20/2019,Furnishings,272.94
Furniture,1/20/2019,Furnishings,38.6
Furniture,1/20/2019,Furnishings,19.3
Office Supplies,1/20/2019,Appliances,247.716
Office Supplies,1/20/2019,Art,22.96
Office Supplies,1/20/2019,Art,6.63
Office Supplies,1/20/2019,Art,43.92
Office Supplies,1/20/2019,Binders,19.05
Office Supplies,1/20/2019,Binders,67.194
Office Supplies,1/20/2019,Binders,29.7
Office Supplies,1/20/2019,Envelopes,23.34
Office Supplies,1/20/2019,Paper,19.36
Office Supplies,1/20/2019,Storage,13.98
Office Supplies,1/20/2019,Storage,66.58
Technology,1/20/2019,Phones,699.93
Furniture,1/21/2019,Furnishings,25.248
Furniture,1/21/2019,Furnishings,24.3
Furniture,1/21/2019,Furnishings,9.48
Furniture,1/21/2019,Furnishings,31.4
Office Supplies,1/21/2019,Paper,6.48
Technology,1/21/2019,Phones,209.5
Office Supplies,1/23/2019,Fasteners,5.94
Office Supplies,1/23/2019,Paper,40.08
Furniture,1/26/2019,Bookcases,141.96
Furniture,1/26/2019,Furnishings,12.42
Furniture,1/26/2019,Furnishings,62.82
Office Supplies,1/26/2019,Binders,10.68
Office Supplies,1/26/2019,Paper,16.68
Office Supplies,1/26/2019,Paper,19.44
Office Supplies,1/26/2019,Storage,489.92
Technology,1/26/2019,Phones,187.98
Technology,1/26/2019,Phones,155.35
Furniture,1/27/2019,Tables,333
Office Supplies,1/27/2019,Art,36.44
Office Supplies,1/27/2019,Storage,57.23
Office Supplies,1/28/2019,Binders,3.928
Office Supplies,1/30/2019,Paper,10.56
Office Supplies,1/30/2019,Storage,229.94
Furniture,1/31/2019,Bookcases,290.666
Technology,2/1/2019,Accessories,468.9
Office Supplies,2/2/2019,Binders,18.336
Office Supplies,2/2/2019,Fasteners,12.35
Technology,2/2/2019,Phones,180.96
Office Supplies,2/3/2019,Binders,13.272
Office Supplies,2/3/2019,Binders,83.84
Office Supplies,2/4/2019,Binders,17.248
Office Supplies,2/4/2019,Binders,82.896
Office Supplies,2/4/2019,Paper,34.24
Office Supplies,2/6/2019,Binders,8.952
Office Supplies,2/6/2019,Labels,15
Technology,2/6/2019,Phones,144.95
Technology,2/6/2019,Phones,161.61
Office Supplies,2/7/2019,Storage,64.96
Technology,2/7/2019,Accessories,115.36
Furniture,2/8/2019,Furnishings,14.56
Furniture,2/11/2019,Chairs,60.89
Furniture,2/11/2019,Furnishings,332.94
Furniture,2/11/2019,Tables,1256.22
Office Supplies,2/11/2019,Binders,17.46
Office Supplies,2/11/2019,Binders,51.9
Office Supplies,2/11/2019,Binders,9.64
Office Supplies,2/11/2019,Labels,14.94
Office Supplies,2/11/2019,Storage,64.96
Technology,2/11/2019,Accessories,234.45
Furniture,2/12/2019,Chairs,129.568
Office Supplies,2/14/2019,Appliances,81.96
Office Supplies,2/14/2019,Paper,16.176
Office Supplies,2/14/2019,Supplies,238.62
Technology,2/14/2019,Accessories,239.97
Office Supplies,2/15/2019,Binders,21.36
Office Supplies,2/16/2019,Appliances,7.96
Office Supplies,2/16/2019,Binders,1.08
Office Supplies,2/17/2019,Art,54.208
Furniture,2/18/2019,Furnishings,25.16
Office Supplies,2/18/2019,Storage,12.624
Furniture,2/20/2019,Furnishings,20.32
Office Supplies,2/20/2019,Paper,12.96
Technology,2/20/2019,Accessories,62.31
Office Supplies,2/21/2019,Binders,8.85
Office Supplies,2/22/2019,Paper,19.44
Office Supplies,2/23/2019,Binders,4.428
Office Supplies,2/23/2019,Labels,6.936
